House_Type,Family_Members,Number_of_Rooms,Daily_Appliance_Usage_Count,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,Outdoor_Temperature_C,Day_of_Week,Season,Is_Holiday,Daily_Electricity_Consumption_kWh,House_Type_Encoded,Day_of_Week_Encoded,Season_Encoded,Family_Members_Scaled,Number_of_Rooms_Scaled,Daily_Appliance_Usage_Count_Scaled,AC_Usage_Hours_Scaled,Fan_Usage_Hours_Scaled,Refrigerator_Usage_Hours_Scaled,Washing_Machine_Usage_Hours_Scaled,Water_Motor_Usage_Hours_Scaled,Lighting_Hours_Scaled,Outdoor_Temperature_C_Scaled
Apartment,6,3,11,6.32,6.81,24,0.0,0.92,5.5,39.7,Friday,Summer,0,14.39,0,0,1,0.9721193181814869,-0.6466304033004656,0.7147830975711826,0.7504771993566853,0.058656413103809216,0.0,-0.7961864247267118,-0.931847053297175,-0.4858564764700439,1.2293696520743087
Villa,3,8,14,5.25,7.2,24,1.01,1.34,6.63,21.9,Sunday,Spring/Autumn,1,17.87,2,3,0,-0.5287774913623766,2.037339980769156,1.697043168229256,0.4333786524486061,0.1631130391790859,0.0,0.7133188394691075,-0.14104147789809898,0.24594211261484752,-0.3336345208100739
Apartment,1,2,11,0.04,3.82,24,0.0,1.19,5.54,10.9,Saturday,Winter,1,5.54,0,2,2,-1.529375364391619,-1.18342448011439,0.7147830975711826,-1.110624552589798,-0.7421777201399775,0.0,-0.7961864247267118,-0.42347204054062637,-0.45995210163518047,-1.2995359759633436
Apartment,4,2,9,1.63,0.99,24,0.0,0.83,5.29,15.6,Friday,Winter,0,7.37,0,0,2,-0.028478554847755435,-1.18342448011439,0.05994305046580039,-0.6394220389600356,-1.5001578529426252,0.0,-0.7961864247267118,-1.1013053908826915,-0.6218544443530768,-0.8868326269433102
Apartment,4,3,4,6.57,9.66,24,0.0,2.22,3.04,37.5,Monday,Summer,0,16.62,0,1,1,-0.028478554847755435,-0.6466304033004656,-1.5771570672976551,0.8245656448959562,0.8219932959615995,0.0,-0.7961864247267118,1.515884489604727,-2.078975528814144,1.0361893610436546
Apartment,1,4,13,0.36,2.81,24,0.0,1.85,3.58,13.2,Friday,Winter,0,5.75,0,0,2,-1.529375364391619,-0.10983632648654133,1.3696231446765648,-1.0157913422995315,-1.012693597924668,0.0,-0.7961864247267118,0.8192224350864933,-1.7292664685434878,-1.0975747626131145
Villa,3,9,9,3.28,3.32,24,0.79,1.98,9.08,22.3,Saturday,Spring/Autumn,1,14.37,2,2,0,-0.5287774913623766,2.5741340575830804,0.05994305046580039,-0.15043829840084813,-0.8760964715185372,0.0,0.3845157126145727,1.0639955893766833,1.8325850712502318,-0.29851083153177294
Independent House,1,4,5,8.31,11.07,24,2.14,1.68,5.32,38.6,Thursday,Summer,0,18.08,1,4,1,-1.529375364391619,-0.10983632648654133,-1.249737043744964,1.3402212258492812,1.1996441748491378,0.0,2.4021712637674004,0.49913446409162887,-0.6024261632269291,1.1327795065589816
Villa,5,8,11,9.16,7.3,24,0.77,1.59,8.7,34.9,Thursday,Summer,0,21.9,2,4,1,0.47182038166686574,2.037339980769156,0.7147830975711826,1.5921219406828018,0.18989678945479774,0.0,0.3546245192641604,0.3296761265061129,1.586493510319029,0.8078853807346997
Apartment,2,4,13,0.0,4.66,24,1.14,1.5,6.49,20.1,Sunday,Spring/Autumn,1,6.98,0,3,0,-1.0290764278769977,-0.10983632648654133,1.3696231446765648,-1.1224787038760815,-0.5171942178239972,0.0,0.907611596246787,0.16021778892059646,0.1552768006928258,-0.49169112256242686
Independent House,3,4,13,0.43,1.88,24,0.94,1.78,4.95,7.8,Wednesday,Winter,0,6.64,1,6,2,-0.5287774913623766,-0.10983632648654133,1.3696231446765648,-0.9950465775485355,-1.261782475488789,0.0,0.6086996627426645,0.6874215058533139,-0.8420416304494157,-1.5717445678701742
Apartment,4,4,4,1.74,12.42,24,1.07,0.99,5.07,29.1,Saturday,Spring/Autumn,1,10.24,0,2,0,-0.028478554847755435,-0.10983632648654133,-1.5771570672976551,-0.6068231229227565,1.5612248035712488,0.0,0.8029924195203444,-0.8000461240639958,-0.7643285059448254,0.29859188619933946
Independent House,6,6,11,1.94,5.68,24,0.94,1.29,7.68,22.5,Friday,Spring/Autumn,0,10.53,1,0,0,0.9721193181814869,0.9637518271413074,0.7147830975711826,-0.5475523664913398,-0.2439999650117356,0.0,0.6086996627426645,-0.23518499877894145,0.9259319520300121,-0.28094898689262265
Independent House,4,4,9,0.0,4.44,24,0.0,0.6,7.39,14.8,Monday,Winter,0,5.3,1,1,2,-0.028478554847755435,-0.10983632648654133,0.05994305046580039,-1.1224787038760815,-0.5761184684305634,0.0,-0.7961864247267118,-1.5343655869345663,0.7381252344772523,-0.9570800054999116
Independent House,2,4,8,9.94,9.86,24,0.0,1.26,7.35,35.2,Saturday,Summer,1,20.6,1,2,1,-1.0290764278769977,-0.10983632648654133,-0.2674769730868907,1.8232778907653266,0.8755607965130232,0.0,-0.7961864247267118,-0.29167111130744694,0.7122208596423888,0.8342281476934257
Apartment,7,2,9,3.98,5.34,24,0.0,0.2,3.59,23.2,Wednesday,Spring/Autumn,0,11.51,0,6,0,1.4724182546961082,-1.18342448011439,0.05994305046580039,0.05700934910911026,-0.33506471594915616,0.0,-0.7961864247267118,-2.2875137539813055,-1.7227903748347722,-0.21948253065559645
Villa,4,6,14,4.21,4.79,24,1.19,1.49,7.29,27.5,Thursday,Spring/Autumn,0,14.42,2,4,0,-0.028478554847755435,0.9637518271413074,1.697043168229256,0.12517071900523943,-0.48237534246557173,0.0,0.9823395796228178,0.14138908474442796,0.673364297390094,0.1580971290861364
Apartment,4,2,9,7.84,6.47,24,0.7,0.47,5.46,38.1,Friday,Summer,0,18.72,0,0,1,-0.028478554847755435,-1.18342448011439,0.05994305046580039,1.2009349482354519,-0.03240833783361132,0.0,0.2500053425377174,-1.7791387412247566,-0.5117608513049073,1.0888748949611058
Independent House,4,5,11,4.13,10.54,24,0.0,1.09,7.26,42.1,Thursday,Summer,0,13.63,1,4,1,-0.028478554847755435,0.426957750327383,0.7147830975711826,0.10146241643267274,1.0576902983878642,0.0,-0.7961864247267118,-0.6117590823023109,0.6539360162639463,1.440111787744113
Independent House,1,5,9,1.11,2.84,24,2.96,2.04,6.72,13.5,Thursday,Winter,0,8.43,1,4,2,-1.529375364391619,0.426957750327383,0.05994305046580039,-0.7935260056817189,-1.0046584728419545,0.0,3.6277101911343035,1.1769678144336941,0.30422695599329014,-1.071231995654389
Apartment,2,3,7,0.0,6.83,24,0.0,0.98,3.11,19.7,Sunday,Spring/Autumn,1,6.05,0,3,0,-1.0290764278769977,-0.6466304033004656,-0.5948969966395818,-1.1224787038760815,0.06401316315895172,0.0,-0.7961864247267118,-0.8188748282401643,-2.033642872853133,-0.5268148118407278
Apartment,2,3,8,4.56,11.68,24,0.99,1.48,3.71,34.3,Thursday,Summer,0,12.47,0,4,1,-1.0290764278769977,-0.6466304033004656,-0.2674769730868907,0.2288945427602185,1.3630250515309805,0.0,0.6834276461186952,0.12256038056825948,-1.6450772503301818,0.7551998468172485
Apartment,4,4,10,5.07,10.77,24,0.0,1.85,6.15,41.9,Monday,Summer,0,14.94,0,1,1,-0.028478554847755435,-0.10983632648654133,0.3873630740184915,0.3800349716603312,1.1192929240220018,0.0,-0.7961864247267118,0.8192224350864933,-0.06491038540351317,1.4225499431049624
Apartment,2,3,4,0.68,3.43,24,0.0,1.28,2.34,16.3,Saturday,Winter,1,6.47,0,2,2,-1.0290764278769977,-0.6466304033004656,-1.5771570672976551,-0.9209581320092647,-0.846634346215254,0.0,-0.7961864247267118,-0.25401370295510994,-2.5323020884242537,-0.8253661707062838
Apartment,4,4,12,3.45,3.31,24,0.0,1.58,7.13,19.8,Sunday,Spring/Autumn,1,13.05,0,3,0,-0.028478554847755435,-0.10983632648654133,1.0422031211238738,-0.10005815543414384,-0.8787748465461084,0.0,-0.7961864247267118,0.3108474223299444,0.5697467980506402,-0.5180338895211525
Independent House,7,3,5,9.23,5.9,24,0.0,0.96,4.23,35.7,Thursday,Summer,0,21.65,1,4,1,1.4724182546961082,-0.6466304033004656,-1.249737043744964,1.6128667054337977,-0.18507571440516918,0.0,-0.7961864247267118,-0.8565322365925012,-1.308320377476957,0.8781327592913015
Apartment,1,3,6,0.09,1.45,24,0.0,0.95,8.18,9.7,Tuesday,Winter,0,5.18,0,5,2,-1.529375364391619,-0.6466304033004656,-0.9223170201922729,-1.095806863481944,-1.3769526016743503,0.0,-0.7961864247267118,-0.8753609407686698,1.2497366374658048,-1.4049070437982458
Apartment,4,4,5,1.68,0.0,24,0.0,1.25,6.14,14.8,Saturday,Winter,1,7.65,0,2,2,-0.028478554847755435,-0.10983632648654133,-1.249737043744964,-0.6246043498521814,-1.7653169806721734,0.0,-0.7961864247267118,-0.31049981548361544,-0.07138647911222945,-0.9570800054999116
Apartment,6,3,8,5.96,12.53,24,1.02,1.06,7.54,42.5,Wednesday,Summer,0,16.27,0,6,1,0.9721193181814869,-0.6466304033004656,-0.2674769730868907,0.6437898377801353,1.5906869288745318,0.0,0.7282644361443137,-0.6682451948308163,0.8352666401079903,1.4752354770224136
Villa,3,6,5,1.69,5.91,24,0.0,0.99,6.54,30.4,Friday,Spring/Autumn,0,8.87,2,0,0,-0.5287774913623766,0.9637518271413074,-1.249737043744964,-0.6216408120306106,-0.18239733937759806,0.0,-0.7961864247267118,-0.8000461240639958,0.18765726923640494,0.41274387635381654
Independent House,6,6,10,3.2,8.25,24,0.0,1.99,6.37,27.3,Saturday,Spring/Autumn,1,13.63,1,2,0,0.9721193181814869,0.9637518271413074,0.3873630740184915,-0.17414660097341467,0.4443424170740612,0.0,-0.7961864247267118,1.0828242935528518,0.07756367618823547,0.14053528444698613
Apartment,7,2,8,5.85,7.29,24,0.0,1.41,8.36,40.7,Friday,Summer,0,18.5,0,0,1,1.4724182546961082,-1.18342448011439,-0.2674769730868907,0.611190921742856,0.18721841442722661,0.0,-0.7961864247267118,-0.009240548664919971,1.36630632422269,1.3171788752700606
Independent House,7,6,12,11.61,11.11,24,0.5,2.01,5.86,35.2,Sunday,Summer,1,29.99,1,3,1,1.4724182546961082,0.9637518271413074,1.0422031211238738,2.3181887069676557,1.2103576749594223,0.0,-0.04890659096640519,1.1204817019051883,-0.2527171029562729,0.8342281476934257
Apartment,6,4,13,5.99,8.97,24,0.0,0.8,9.42,39.2,Wednesday,Summer,0,17.68,0,6,1,0.9721193181814869,-0.10983632648654133,1.3696231446765648,0.6526804512448479,0.6371854190591872,0.0,-0.7961864247267118,-1.1577915034111967,2.0527722573465708,1.1854650404764329
Apartment,5,2,10,0.0,2.68,24,0.0,1.07,2.76,16.4,Thursday,Winter,0,5.22,0,4,2,0.47182038166686574,-1.18342448011439,0.3873630740184915,-1.1224787038760815,-1.0475124732830936,0.0,-0.7961864247267118,-0.6494164906546479,-2.260306152658188,-0.8165852483867089
Apartment,5,3,14,1.83,0.09,24,0.0,1.97,7.22,10.3,Sunday,Winter,1,9.94,0,3,2,0.47182038166686574,-0.6466304033004656,1.697043168229256,-0.5801512825286189,-1.7412116054240327,0.0,-0.7961864247267118,1.0451668852005147,0.6280316414290829,-1.3522215098807948
Independent House,3,5,10,0.17,5.0,24,1.11,1.35,6.27,9.4,Tuesday,Winter,0,6.47,1,5,2,-0.5287774913623766,0.426957750327383,0.3873630740184915,-1.0720985609093772,-0.42612946688657666,0.0,0.862774806221169,-0.1222127737219305,0.012802739101076578,-1.4312498107569713
Apartment,1,4,10,1.23,8.55,24,0.91,1.0,5.29,21.3,Wednesday,Spring/Autumn,0,8.31,0,6,0,-1.529375364391619,-0.10983632648654133,0.3873630740184915,-0.7579635518228689,0.5246936679011972,0.0,0.5638628727170463,-0.7812174198878273,-0.6218544443530768,-0.3863200547275248
Apartment,7,2,11,1.34,1.32,24,0.0,1.01,6.26,19.8,Saturday,Winter,1,8.51,0,2,2,1.4724182546961082,-1.18342448011439,0.7147830975711826,-0.7253646357855896,-1.4117714770327758,0.0,-0.7961864247267118,-0.7623887157116588,0.006326645392360861,-0.5180338895211525
Villa,6,6,6,2.12,5.04,24,0.0,2.87,6.31,19.7,Monday,Spring/Autumn,0,11.4,2,1,0,0.9721193181814869,0.9637518271413074,-0.9223170201922729,-0.4942086857030647,-0.4154159667762919,0.0,-0.7961864247267118,2.739750261055678,0.038707113935940014,-0.5268148118407278
Independent House,6,5,11,7.22,12.0,24,1.11,1.63,6.51,36.7,Friday,Summer,0,22.11,1,0,1,0.9721193181814869,0.426957750327383,0.7147830975711826,1.0171956032980602,1.4487330524132587,0.0,0.862774806221169,0.40499094321078644,0.16822898811025722,0.9659419824870533
Apartment,2,2,10,0.0,2.28,24,0.0,1.67,5.89,16.0,Thursday,Winter,0,4.97,0,4,2,-1.0290764278769977,-1.18342448011439,0.3873630740184915,-1.1224787038760815,-1.1546474743859414,0.0,-0.7961864247267118,0.4803057599154604,-0.2332888218301258,-0.8517089376650094
Villa,3,5,9,0.0,0.64,24,0.0,1.88,8.75,7.8,Saturday,Winter,1,6.61,2,2,2,-0.5287774913623766,0.426957750327383,0.05994305046580039,-1.1224787038760815,-1.593900978907617,0.0,-0.7961864247267118,0.8757085476149983,1.6188739788626085,-1.5717445678701742
Apartment,6,2,8,5.59,10.72,24,0.72,1.24,7.9,41.0,Monday,Summer,0,16.94,0,1,1,0.9721193181814869,-1.18342448011439,-0.2674769730868907,0.5341389383820144,1.105901048884146,0.0,0.2798965358881296,-0.32932851965978394,1.0684060136217612,1.343521642228786
Apartment,3,3,12,4.74,8.87,24,0.0,1.11,6.7,44.1,Monday,Summer,0,11.73,0,1,1,-0.5287774913623766,-0.6466304033004656,1.0422031211238738,0.28223822354849365,0.6104016687834749,0.0,-0.7961864247267118,-0.5741016739499739,0.2912747685758587,1.6157302341356166
Independent House,1,4,6,0.0,5.78,24,0.63,1.46,6.42,14.3,Saturday,Spring/Autumn,1,5.99,1,2,0,-1.529375364391619,-0.10983632648654133,-0.9223170201922729,-1.1224787038760815,-0.21721621473602354,0.0,0.14538616581127453,0.0849029722159225,0.10994414473181462,-1.0009846170977874
Villa,5,6,13,0.0,4.89,24,0.8,1.95,5.98,5.3,Friday,Winter,0,7.12,2,0,2,0.47182038166686574,0.9637518271413074,1.3696231446765648,-1.1224787038760815,-0.4555915921898599,0.0,0.3994613092897788,1.0075094768481778,-0.17500397845168264,-1.7912676258595537
Independent House,2,5,14,0.34,0.48,24,1.5,1.67,7.28,8.4,Tuesday,Winter,0,7.16,1,5,2,-1.0290764278769977,0.426957750327383,1.697043168229256,-1.021718417942673,-1.636754979348756,0.0,1.445653076554208,0.4803057599154604,0.6668882036813782,-1.519059033952723
Independent House,4,6,14,2.04,6.24,24,0.8,1.26,9.01,30.3,Tuesday,Spring/Autumn,0,10.16,1,5,0,-0.028478554847755435,0.9637518271413074,1.697043168229256,-0.5179169882756314,-0.09401096346774865,0.0,0.3994613092897788,-0.29167111130744694,1.7872524152892206,0.40396295403424154
Independent House,1,3,8,1.54,4.96,24,0.0,1.15,3.54,25.8,Friday,Spring/Autumn,0,7.43,1,0,0,-1.529375364391619,-0.6466304033004656,-0.2674769730868907,-0.6660938793541731,-0.4368429669968615,0.0,-0.7961864247267118,-0.49878685724530036,-1.7551708433783513,0.008821449653358394
Independent House,6,5,10,1.97,2.9,24,0.0,1.21,6.96,10.4,Monday,Winter,0,10.31,1,1,2,0.9721193181814869,0.426957750327383,0.3873630740184915,-0.5386617530266272,-0.9885882226765274,0.0,-0.7961864247267118,-0.3858146321882894,0.45965320500247075,-1.3434405875612196
Apartment,3,4,4,3.34,3.63,24,0.0,1.56,4.81,12.7,Monday,Winter,0,10.55,0,1,2,-0.5287774913623766,-0.10983632648654133,-1.5771570672976551,-0.1326570714714231,-0.7930668456638302,0.0,-0.7961864247267118,0.2731900139776074,-0.932706942371438,-1.1414793742109905
Independent House,1,4,14,8.41,13.7,24,0.0,1.19,7.11,41.9,Thursday,Summer,0,16.56,1,4,1,-1.529375364391619,-0.10983632648654133,1.697043168229256,1.3698566040649893,1.9040568071003614,0.0,-0.7961864247267118,-0.42347204054062637,0.5567946106332088,1.4225499431049624
Independent House,7,6,13,0.18,1.04,24,0.0,1.81,5.24,19.2,Thursday,Winter,0,7.32,1,4,2,1.4724182546961082,0.9637518271413074,1.3696231446765648,-1.0691350230878063,-1.4867659778047693,0.0,-0.7961864247267118,0.7439076183818193,-0.6542349128966559,-0.5707194234386037
Independent House,2,3,10,2.05,4.9,24,0.0,1.32,4.68,23.6,Sunday,Spring/Autumn,1,9.19,1,3,0,-1.0290764278769977,-0.6466304033004656,0.3873630740184915,-0.5149534504540606,-0.45291321716228855,0.0,-0.7961864247267118,-0.17869888625043598,-1.0168961605847442,-0.18435884137729552
Apartment,4,2,6,10.01,12.66,24,0.95,1.86,5.91,35.9,Tuesday,Summer,0,24.78,0,5,1,-0.028478554847755435,-1.18342448011439,-0.9223170201922729,1.8440226555163226,1.6255058042329575,0.0,0.6236452594178706,0.8380511392626617,-0.2203366344126938,0.8956946039304515
Apartment,3,3,6,2.11,0.44,24,1.06,1.42,7.29,13.5,Thursday,Winter,0,8.41,0,4,2,-0.5287774913623766,-0.6466304033004656,-0.9223170201922729,-0.49717222352463564,-1.6474684794590408,0.0,0.7880468228451383,0.009588155511248522,0.673364297390094,-1.071231995654389
Apartment,6,2,5,0.0,0.43,24,0.0,1.09,3.16,14.5,Friday,Winter,0,5.34,0,0,2,0.9721193181814869,-1.18342448011439,-1.249737043744964,-1.1224787038760815,-1.6501468544866122,0.0,-0.7961864247267118,-0.6117590823023109,-2.0012624043095535,-0.9834227724586372
Independent House,1,5,5,0.0,7.63,24,0.0,1.56,6.15,15.9,Friday,Spring/Autumn,0,6.52,1,0,0,-1.529375364391619,0.426957750327383,-1.249737043744964,-1.1224787038760815,0.27828316536464714,0.0,-0.7961864247267118,0.2731900139776074,-0.06491038540351317,-0.8604898599845846
Independent House,6,4,6,8.08,8.27,24,0.0,1.96,7.52,29.7,Wednesday,Summer,1,19.99,1,6,1,0.9721193181814869,-0.10983632648654133,-0.9223170201922729,1.272059855953152,0.44969916712920344,0.0,-0.7961864247267118,1.0263381810243462,0.8223144526905584,0.35127742011679036
Apartment,2,4,9,8.01,9.75,24,1.1,0.99,5.83,35.9,Thursday,Summer,0,17.89,0,4,1,-1.0290764278769977,-0.10983632648654133,0.05994305046580039,1.251315091202156,0.8460986712097401,0.0,0.8478292095459629,-0.8000461240639958,-0.27214538408242067,0.8956946039304515
Villa,2,8,4,1.89,5.81,24,0.0,2.74,8.67,20.4,Thursday,Spring/Autumn,0,11.16,2,4,0,-1.0290764278769977,2.037339980769156,-1.5771570672976551,-0.562370055599194,-0.20918108965331011,0.0,-0.7961864247267118,2.4949771067654876,1.5670652291928817,-0.4653483556037016
Villa,5,8,12,0.0,1.51,24,0.0,3.43,7.89,9.5,Friday,Winter,0,8.77,2,0,2,0.47182038166686574,2.037339980769156,1.0422031211238738,-1.1224787038760815,-1.3608823515089232,0.0,-0.7961864247267118,3.7941576949211124,1.061929919913045,-1.4224688884373962
Apartment,7,3,13,7.29,9.22,24,1.02,1.5,7.75,35.2,Friday,Summer,0,18.48,0,0,1,1.4724182546961082,-0.6466304033004656,1.3696231446765648,1.0379403680490562,0.7041447947484671,0.0,0.7282644361443137,0.16021778892059646,0.9712646079910232,0.8342281476934257
Apartment,5,2,11,3.19,4.93,24,0.0,0.81,5.43,25.7,Friday,Spring/Autumn,0,11.42,0,0,0,0.47182038166686574,-1.18342448011439,0.7147830975711826,-0.17711013879498558,-0.4448780920795751,0.0,-0.7961864247267118,-1.1389627992350282,-0.531189132431055,4.0527333783088164e-05
Independent House,4,3,7,1.71,2.01,24,0.82,1.95,6.77,19.9,Sunday,Spring/Autumn,1,10.15,1,3,0,-0.028478554847755435,-0.6466304033004656,-0.5948969966395818,-0.615713736387469,-1.2269636001303637,0.0,0.4293525026401909,1.0075094768481778,0.33660742453686926,-0.5092529672015775
Apartment,2,3,6,0.0,6.14,24,0.99,1.41,7.54,22.3,Saturday,Spring/Autumn,1,6.37,0,2,0,-1.0290764278769977,-0.6466304033004656,-0.9223170201922729,-1.1224787038760815,-0.12079471374346072,0.0,0.6834276461186952,-0.009240548664919971,0.8352666401079903,-0.29851083153177294
Villa,5,6,11,0.72,3.85,24,1.33,1.08,5.51,11.5,Tuesday,Winter,0,7.31,2,5,2,0.47182038166686574,0.9637518271413074,0.7147830975711826,-0.9091039807229814,-0.7341425950572639,0.0,1.1915779330757037,-0.6305877864784794,-0.47938038276132816,-1.2468504420458926
Independent House,4,5,8,7.25,15.31,24,0.0,2.09,7.2,32.2,Monday,Summer,0,20.87,1,1,1,-0.028478554847755435,0.426957750327383,-0.2674769730868907,1.026086216762773,2.3352751865393238,0.0,-0.7961864247267118,1.2711113353145362,0.6150794540116514,0.5708004781061702
Independent House,1,4,4,0.48,3.68,24,0.0,1.31,6.96,3.7,Saturday,Winter,1,6.42,1,2,2,-1.529375364391619,-0.10983632648654133,-1.5771570672976551,-0.9802288884406815,-0.7796749705259741,0.0,-0.7961864247267118,-0.19752759042660448,0.45965320500247075,-1.9317623829727568
Apartment,5,3,14,7.22,11.1,24,0.0,1.65,5.72,30.7,Monday,Summer,0,18.13,0,1,1,0.47182038166686574,-0.6466304033004656,1.697043168229256,1.0171956032980602,1.2076792999318513,0.0,-0.7961864247267118,0.44264835156312343,-0.3433824148782953,0.43908664331254216
Apartment,2,2,6,1.76,1.17,24,0.0,2.48,8.39,5.9,Saturday,Winter,1,9.93,0,2,2,-1.0290764278769977,-1.18342448011439,-0.9223170201922729,-0.6008960472796147,-1.4519471024463437,0.0,-0.7961864247267118,2.005430798185107,1.3857346053488382,-1.7385820919421027
Independent House,7,3,9,1.12,2.43,24,0.0,1.25,5.83,12.3,Monday,Winter,0,7.5,1,1,2,1.4724182546961082,-0.6466304033004656,0.05994305046580039,-0.790562467860148,-1.1144718489723735,0.0,-0.7961864247267118,-0.31049981548361544,-0.27214538408242067,-1.176603063489291
Independent House,7,5,10,6.03,9.36,24,0.0,1.71,6.22,35.4,Thursday,Summer,0,17.93,1,4,1,1.4724182546961082,0.426957750327383,0.3873630740184915,0.6645346025311312,0.7416420451344635,0.0,-0.7961864247267118,0.5556205766201344,-0.01957772944250258,0.8517899923325756
Apartment,5,4,11,1.31,4.77,24,0.0,1.93,5.53,17.2,Monday,Spring/Autumn,0,9.06,0,1,0,0.47182038166686574,-0.10983632648654133,0.7147830975711826,-0.7342552492503023,-0.48773209252071426,0.0,-0.7961864247267118,0.9698520684958408,-0.4664281953438962,-0.7463378698301073
Independent House,3,6,8,1.22,3.9,24,1.33,2.02,5.76,25.8,Monday,Spring/Autumn,0,8.48,1,1,0,-0.5287774913623766,0.9637518271413074,-0.2674769730868907,-0.7609270896444397,-0.720750719919408,0.0,1.1915779330757037,1.1393104060813573,-0.31747804004343183,0.008821449653358394
Apartment,6,2,8,12.48,11.06,24,0.83,1.41,4.12,33.0,Sunday,Summer,1,30.03,0,3,1,0.9721193181814869,-1.18342448011439,-0.2674769730868907,2.5760164974443187,1.1969657998215666,0.0,0.4442980993153971,-0.009240548664919971,-1.3795574082728317,0.6410478566627714
Villa,5,9,13,11.19,9.21,24,0.0,2.69,7.68,40.8,Sunday,Summer,1,29.78,2,3,1,0.47182038166686574,2.5741340575830804,1.3696231446765648,2.193720118461681,0.701466419720896,0.0,-0.7961864247267118,2.400833585884645,0.9259319520300121,1.3259597975896353
Apartment,5,3,5,1.41,2.03,24,0.72,1.17,6.41,16.1,Wednesday,Spring/Autumn,0,7.75,0,6,0,0.47182038166686574,-0.6466304033004656,-1.249737043744964,-0.704619871034594,-1.2216068500752213,0.0,0.2798965358881296,-0.46112944889296337,0.1034680510230989,-0.8429280153454342
