House_Type,Family_Members,Number_of_Rooms,Daily_Appliance_Usage_Count,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,Outdoor_Temperature_C,Day_of_Week,Season,Is_Holiday,Daily_Electricity_Consumption_kWh
Apartment,6,4,13,5.99,8.97,24,0.0,0.8,9.42,39.2,Wednesday,Summer,0,17.68
Apartment,5,2,10,0.0,2.68,24,0.0,1.07,2.76,16.4,Thursday,Winter,0,5.22
Apartment,5,3,14,1.83,0.09,24,0.0,1.97,7.22,10.3,Sunday,Winter,1,9.94
Independent House,3,5,10,0.17,5.0,24,1.11,1.35,6.27,9.4,Tuesday,Winter,0,6.47
Apartment,1,4,10,1.23,8.55,24,0.91,1.0,5.29,21.3,Wednesday,Spring/Autumn,0,8.31
Apartment,7,2,11,1.34,1.32,24,0.0,1.01,,19.8,Saturday,Winter,1,8.51
Villa,6,6,6,2.12,5.04,24,0.0,2.87,6.31,19.7,Monday,Spring/Autumn,0,11.4
Independent House,6,5,11,7.22,12.0,24,1.11,1.63,6.51,36.7,Friday,Summer,0,22.11
Apartment,2,2,10,0.0,2.28,24,0.0,1.67,5.89,16.0,Thursday,Winter,0,4.97
Villa,3,5,9,0.0,0.64,24,0.0,1.88,8.75,7.8,Saturday,Winter,1,6.61
Apartment,6,2,8,5.59,10.72,24,0.72,1.24,7.9,41.0,Monday,Summer,0,16.94
Apartment,3,3,12,4.74,8.87,24,0.0,1.11,6.7,44.1,Monday,Summer,0,11.73
Independent House,1,4,6,0.0,5.78,24,0.63,1.46,6.42,14.3,Saturday,Spring/Autumn,1,5.99
Villa,5,6,13,0.0,4.89,24,0.8,1.95,5.98,5.3,Friday,Winter,0,7.12
Independent House,2,5,14,0.34,0.48,24,1.5,1.67,7.28,8.4,Tuesday,Winter,0,7.16
Independent House,4,6,14,2.04,6.24,24,0.8,1.26,9.01,30.3,Tuesday,Spring/Autumn,0,10.16
Independent House,1,3,8,1.54,4.96,24,0.0,1.15,3.54,25.8,Friday,Spring/Autumn,0,7.43
Independent House,6,5,10,1.97,2.9,24,0.0,1.21,6.96,10.4,Monday,Winter,0,10.31
Apartment,3,4,4,3.34,3.63,24,0.0,1.56,4.81,12.7,Monday,Winter,0,10.55
Independent House,1,4,14,8.41,13.7,24,0.0,1.19,7.11,41.9,Thursday,Summer,0,16.56
Independent House,7,6,13,0.18,1.04,24,0.0,1.81,5.24,19.2,Thursday,Winter,0,7.32
Independent House,2,3,10,2.05,4.9,24,0.0,1.32,4.68,23.6,Sunday,Spring/Autumn,1,9.19
Apartment,4,2,6,10.01,12.66,24,0.95,1.86,5.91,35.9,Tuesday,Summer,0,24.78
Apartment,3,3,6,2.11,0.44,24,1.06,1.42,7.29,13.5,Thursday,Winter,0,8.41
Apartment,6,2,5,0.0,0.43,24,0.0,1.09,3.16,14.5,Friday,Winter,0,5.34
Independent House,1,5,5,0.0,7.63,24,0.0,1.56,6.15,15.9,Friday,Spring/Autumn,0,6.52
Independent House,6,4,6,8.08,8.27,24,0.0,1.96,7.52,29.7,Wednesday,Summer,1,19.99
Apartment,2,4,9,8.01,9.75,24,1.1,0.99,5.83,35.9,Thursday,Summer,0,17.89
Villa,2,8,4,1.89,5.81,24,0.0,2.74,8.67,20.4,Thursday,Spring/Autumn,0,11.16
Villa,5,8,12,0.0,1.51,24,0.0,3.43,7.89,9.5,Friday,Winter,0,8.77
Apartment,7,3,13,7.29,9.22,24,1.02,1.5,7.75,35.2,Friday,Summer,0,18.48
Apartment,5,2,11,3.19,4.93,24,,0.81,5.43,25.7,Friday,Spring/Autumn,0,11.42
Independent House,4,3,7,1.71,2.01,24,0.82,1.95,6.77,19.9,Sunday,Spring/Autumn,1,10.15
Apartment,2,3,6,0.0,6.14,24,0.99,1.41,7.54,22.3,Saturday,Spring/Autumn,1,6.37
Villa,5,6,11,0.72,3.85,24,1.33,1.08,5.51,11.5,Tuesday,Winter,0,7.31
Independent House,4,5,8,7.25,15.31,24,0.0,2.09,7.2,32.2,Monday,Summer,0,20.87
Independent House,1,4,4,0.48,3.68,24,0.0,1.31,6.96,3.7,Saturday,Winter,1,6.42
Apartment,5,3,14,7.22,11.1,24,0.0,1.65,5.72,30.7,Monday,Summer,0,18.13
Apartment,2,2,6,1.76,1.17,24,0.0,2.48,8.39,5.9,Saturday,Winter,1,9.93
Independent House,7,3,9,1.12,2.43,24,0.0,1.25,5.83,12.3,Monday,Winter,0,7.5
Independent House,7,5,10,6.03,9.36,24,0.0,1.71,6.22,35.4,Thursday,Summer,0,17.93
Apartment,5,4,11,1.31,4.77,24,0.0,1.93,5.53,17.2,Monday,Spring/Autumn,0,9.06
Independent House,3,6,8,1.22,3.9,24,1.33,2.02,5.76,25.8,Monday,Spring/Autumn,0,8.48
Apartment,6,2,8,12.48,11.06,24,0.83,1.41,4.12,33.0,Sunday,Summer,1,30.03
Villa,5,9,13,11.19,9.21,24,0.0,2.69,7.68,40.8,Sunday,Summer,1,29.78
Apartment,5,3,5,1.41,2.03,24,0.72,1.17,6.41,16.1,Wednesday,Spring/Autumn,0,7.75
Apartment,4,4,5,0.0,1.95,24,1.12,1.8,4.6,15.5,Tuesday,Winter,0,6.7
Independent House,6,4,6,8.08,8.27,24,0.0,1.96,7.52,29.7,Wednesday,Summer,1,19.99
Apartment,1,3,12,3.64,2.62,24,1.05,2.06,4.53,24.2,Monday,Spring/Autumn,0,10.86
Apartment,1,2,7,9.15,8.74,24,0.0,1.05,4.9,41.8,Thursday,Summer,0,18.5
Apartment,2,4,7,1.66,0.0,24,0.0,2.13,4.01,32.5,Saturday,Spring/Autumn,1,8.14
Villa,2,8,5,10.33,10.8,24,0.82,1.37,5.24,35.1,Thursday,Summer,0,22.14
Apartment,2,2,4,0.7,4.88,24,0.0,1.02,5.06,3.0,Thursday,Winter,0,5.91
Apartment,6,2,7,7.75,8.82,24,1.12,1.66,4.28,43.6,Saturday,Summer,1,23.05
Apartment,2,4,10,5.5,9.36,24,0.97,1.0,6.1,38.9,Monday,Summer,0,14.14
Apartment,1,2,6,7.8,10.58,24,0.0,0.99,5.15,38.0,Friday,Summer,0,16.29
Independent House,2,6,7,0.0,2.3,24,1.05,1.56,5.75,15.6,Thursday,Winter,0,6.44
Apartment,6,4,9,6.98,9.65,24,0.0,2.07,7.27,38.9,Monday,Summer,0,22.72
Apartment,5,2,9,7.77,15.68,24,0.0,2.02,4.44,40.3,Tuesday,Summer,1,22.04
Apartment,1,2,5,8.77,11.47,24,0.59,1.06,5.21,28.3,Monday,Summer,0,19.18
Apartment,7,3,8,0.0,2.38,24,1.16,1.7,8.01,13.2,Wednesday,Winter,0,7.21
Apartment,3,2,11,3.01,10.53,24,1.07,1.56,4.18,35.4,Thursday,Summer,0,11.78
Apartment,4,2,8,6.34,7.98,24,1.12,1.61,7.7,36.3,Monday,Summer,0,15.92
Apartment,5,2,13,0.0,1.39,24,0.6,1.32,4.86,10.0,Sunday,Winter,1,6.68
Apartment,3,2,9,6.75,11.5,24,0.0,1.95,5.74,41.3,Thursday,Summer,0,15.88
Apartment,2,2,10,0.0,2.29,24,0.78,1.75,5.08,9.3,Monday,Winter,0,5.02
Apartment,3,2,8,8.48,9.1,24,0.0,1.59,2.12,37.5,Thursday,Summer,0,17.86
Independent House,5,5,7,8.58,9.53,24,2.54,1.67,4.92,44.2,Thursday,Summer,0,22.11
Independent House,7,4,8,0.95,5.52,24,1.1,1.63,5.45,25.9,Saturday,Spring/Autumn,1,8.49
Apartment,5,2,12,5.7,8.64,24,0.0,0.44,2.81,48.4,Wednesday,Summer,0,14.82
Apartment,2,4,14,5.04,15.51,24,1.78,1.25,6.53,31.2,Monday,Summer,0,13.63
Independent House,1,6,8,1.7,3.41,24,0.63,2.14,8.59,25.0,Monday,Spring/Autumn,0,8.81
Apartment,4,4,6,0.14,2.95,24,0.9,1.07,4.36,13.3,Wednesday,Winter,0,6.17
Apartment,4,2,14,0.0,0.49,24,0.0,1.38,7.06,9.8,Tuesday,Winter,0,5.44
Apartment,3,2,14,1.22,5.67,24,0.81,1.74,7.0,21.5,Monday,Spring/Autumn,0,8.58
Apartment,5,3,13,0.51,2.7,24,0.0,1.57,3.97,9.1,Sunday,Winter,1,7.08
Apartment,7,3,4,9.49,8.86,24,1.19,1.46,5.58,37.3,Tuesday,Summer,0,22.46
Apartment,4,2,7,0.0,2.7,24,0.0,0.32,5.83,8.4,Saturday,Winter,1,5.19
Apartment,4,3,4,10.54,9.28,24,0.52,1.44,4.54,39.1,Wednesday,Summer,0,23.6
Villa,2,8,12,2.49,7.49,24,2.73,0.88,7.54,24.7,Saturday,Spring/Autumn,1,12.21
Apartment,1,3,6,0.18,10.32,24,0.0,0.37,5.19,30.3,Friday,Spring/Autumn,0,4.61
Apartment,5,3,4,7.13,10.21,24,0.0,1.38,7.81,42.6,Thursday,Summer,0,17.34
Apartment,7,2,9,0.0,2.66,24,0.0,1.8,6.3,14.9,Thursday,Winter,0,6.45
Apartment,3,4,12,8.16,9.87,24,0.0,1.17,7.19,33.2,Tuesday,Summer,0,19.22
Independent House,1,4,14,2.98,9.09,24,1.17,1.44,6.77,30.4,Monday,Spring/Autumn,0,10.83
Apartment,7,4,10,0.0,4.31,24,1.78,1.95,4.77,5.3,Friday,Winter,0,7.66
Apartment,2,4,11,0.23,3.27,24,0.0,0.34,5.5,13.9,Sunday,Winter,1,5.12
Independent House,4,5,6,5.66,11.9,24,2.22,1.32,7.96,42.7,Tuesday,Summer,0,17.41
Apartment,2,3,10,6.13,8.53,24,0.0,1.01,3.58,44.4,Monday,Summer,0,12.96
Independent House,4,6,10,7.52,10.66,24,0.0,2.0,5.28,41.7,Tuesday,Summer,0,21.09
Apartment,3,3,10,0.0,1.87,24,0.0,1.31,9.76,13.9,Monday,Winter,1,6.1
Apartment,7,4,4,1.37,2.63,24,1.0,1.06,3.48,24.8,Wednesday,Spring/Autumn,0,9.79
Independent House,4,6,11,0.26,0.0,24,0.0,2.07,8.31,5.7,Thursday,Winter,0,6.82
Independent House,2,6,7,7.94,10.88,24,0.0,1.47,6.01,40.7,Tuesday,Summer,0,17.4
Independent House,1,4,12,0.0,5.18,24,0.88,1.24,6.16,29.1,Tuesday,Spring/Autumn,0,6.0
Independent House,1,4,10,4.43,11.23,24,1.82,1.66,5.92,41.6,Thursday,Summer,0,11.6
Apartment,2,3,8,7.12,6.25,24,0.0,1.29,6.07,22.2,Friday,Spring/Autumn,0,18.23
Villa,2,5,6,2.34,5.5,24,0.0,0.83,4.14,24.5,Saturday,Spring/Autumn,1,8.71
Villa,2,8,4,12.59,10.23,24,1.11,2.58,5.87,39.0,Sunday,Summer,1,26.0
Independent House,6,5,5,0.0,3.51,24,0.0,2.2,4.81,11.1,Sunday,Winter,1,6.99
Independent House,2,3,10,0.0,1.19,24,0.62,1.17,5.79,13.9,Sunday,Winter,1,5.84
Villa,1,6,11,1.24,7.26,24,0.53,0.58,7.06,19.4,Tuesday,Spring/Autumn,0,7.09
Independent House,5,4,12,0.0,6.93,24,0.0,1.38,5.29,25.2,Friday,Spring/Autumn,0,6.79
Independent House,1,6,13,1.01,1.97,24,0.69,0.84,5.3,11.2,Monday,Winter,0,6.39
Independent House,7,3,13,1.11,9.3,24,,1.29,5.86,23.3,Wednesday,Spring/Autumn,0,8.66
Apartment,5,2,8,6.52,8.11,24,0.0,1.41,7.22,32.7,Tuesday,Summer,0,15.97
Villa,4,6,10,2.63,5.45,24,0.56,1.07,7.29,29.0,Saturday,Spring/Autumn,1,10.87
Independent House,6,6,14,0.0,3.73,24,0.96,2.29,6.27,15.9,Thursday,Winter,0,8.07
Independent House,2,4,9,0.03,0.59,24,,1.55,6.38,10.4,Tuesday,Winter,0,5.33
Independent House,5,3,7,2.63,6.21,24,0.0,1.49,3.44,27.4,Tuesday,Spring/Autumn,0,10.87
Apartment,4,4,10,0.04,8.7,24,0.66,1.76,7.15,20.4,Thursday,Spring/Autumn,0,6.81
Independent House,3,5,10,6.97,9.46,24,0.0,1.18,6.9,36.6,Thursday,Summer,0,16.82
Independent House,6,4,11,0.57,1.16,24,1.1,1.43,5.13,17.3,Thursday,Winter,0,7.28
Independent House,7,6,6,8.81,8.83,24,0.0,1.71,5.84,40.4,Sunday,Summer,1,23.79
Villa,2,9,10,0.29,3.69,24,0.0,1.86,9.72,,Sunday,Winter,1,9.18
Apartment,3,3,6,0.0,1.36,24,0.85,0.78,6.73,7.8,Wednesday,Winter,0,5.44
Apartment,1,3,5,6.71,12.25,24,0.0,1.49,7.52,43.3,Friday,Summer,0,14.74
Apartment,1,4,14,0.58,2.89,24,1.21,2.11,4.2,12.2,Thursday,Winter,0,6.61
Independent House,7,6,9,5.71,4.22,24,0.0,1.75,4.32,30.8,Thursday,Summer,0,17.72
Villa,7,8,5,3.2,5.62,24,0.0,2.11,7.86,21.8,Sunday,Spring/Autumn,1,15.23
Apartment,4,4,8,1.35,8.53,24,0.0,0.57,1.34,28.6,Wednesday,Spring/Autumn,0,7.43
Apartment,1,4,9,0.66,1.35,24,0.0,1.22,5.12,14.6,Thursday,Winter,0,5.55
Villa,6,8,13,0.47,0.78,24,0.0,2.91,7.66,13.2,Sunday,Winter,1,10.47
Independent House,5,3,14,7.5,10.65,24,0.0,2.14,6.82,36.6,Monday,Summer,0,19.49
Independent House,1,4,9,0.0,8.5,24,0.0,0.66,8.74,19.5,Thursday,Spring/Autumn,0,5.28
Apartment,1,3,11,7.44,10.92,24,0.0,1.15,6.2,34.8,Monday,Summer,0,14.52
Apartment,6,2,8,3.19,6.99,24,1.1,1.88,4.11,11.4,Thursday,Spring/Autumn,0,12.93
Independent House,6,3,7,1.94,10.04,24,0.0,1.41,5.24,26.2,Thursday,Spring/Autumn,1,10.71
Independent House,6,3,9,2.29,8.77,24,0.0,1.03,4.2,33.5,Tuesday,Spring/Autumn,0,10.54
Independent House,3,5,5,1.08,9.23,24,0.87,1.11,3.2,26.0,Wednesday,Spring/Autumn,0,7.65
Apartment,6,2,9,10.25,10.75,24,0.0,1.75,4.28,31.6,Saturday,Summer,1,25.51
Independent House,7,4,10,4.0,1.2,24,0.0,1.3,7.28,7.3,Friday,Winter,0,13.0
Villa,3,8,14,5.25,7.2,24,1.01,1.34,6.63,21.9,Sunday,Spring/Autumn,1,17.87
Apartment,7,4,4,1.95,7.66,24,0.0,0.95,7.03,26.5,Saturday,Spring/Autumn,1,10.54
Villa,1,9,12,1.18,0.0,24,,1.52,5.79,14.2,Saturday,Winter,1,8.04
Independent House,2,3,4,6.68,8.93,24,0.0,1.3,6.21,33.9,Tuesday,Summer,0,13.74
Villa,4,5,10,2.52,9.45,24,0.0,0.65,5.75,40.5,Monday,Summer,0,10.02
Villa,2,6,14,1.32,1.03,24,0.0,1.4,7.28,2.3,Sunday,Winter,1,7.06
Independent House,7,4,14,8.38,10.4,24,1.3,1.93,4.57,47.6,Saturday,Summer,1,26.99
Apartment,7,2,5,7.7,6.04,24,0.0,1.22,3.73,32.5,Monday,Summer,0,19.62
Independent House,4,5,12,10.08,10.07,24,2.3,1.85,9.14,30.5,Tuesday,Summer,1,29.08
Apartment,1,2,8,8.41,10.95,24,1.0,1.09,,33.8,Monday,Summer,1,16.53
Independent House,5,6,8,3.65,4.49,24,0.66,2.12,8.66,26.7,Thursday,Spring/Autumn,0,15.48
Apartment,1,4,14,8.4,9.52,24,1.24,0.95,6.99,39.1,Sunday,Summer,1,19.31
Independent House,2,6,10,0.58,0.54,24,0.0,1.93,6.06,17.0,Thursday,Winter,0,6.66
Independent House,3,4,13,5.26,5.67,24,1.06,0.94,5.34,31.5,Thursday,Summer,0,14.06
Villa,6,7,9,8.77,7.62,24,0.64,1.4,8.39,41.8,Saturday,Summer,1,21.37
Apartment,7,2,13,0.18,3.22,24,0.68,0.58,7.1,8.9,Sunday,Winter,1,32.44949496601328
Apartment,5,4,11,6.22,10.57,24,1.35,1.57,6.27,35.5,Thursday,Summer,0,17.92
Independent House,1,3,8,1.92,6.77,24,0.0,1.28,3.17,17.2,Tuesday,Spring/Autumn,0,7.94
Apartment,7,2,14,5.07,11.01,24,0.53,0.84,4.45,36.9,Wednesday,Summer,0,14.39
Independent House,5,5,7,1.54,4.51,24,0.8,1.33,8.0,25.7,Saturday,Spring/Autumn,1,9.87
Villa,7,8,5,6.1,11.31,24,0.6,1.85,8.49,34.1,Wednesday,Summer,0,21.13
Apartment,7,2,9,0.56,3.94,24,0.0,0.6,7.07,22.5,Wednesday,Winter,0,6.41
Apartment,3,2,6,8.54,11.11,24,1.4,1.57,5.09,41.4,Thursday,Summer,0,20.99
Independent House,2,4,7,1.63,0.0,24,0.0,1.89,9.31,15.8,Wednesday,Winter,0,7.78
Villa,4,9,5,5.3,9.56,24,0.0,1.77,6.79,42.8,Saturday,Summer,1,17.88
Independent House,2,4,10,0.01,7.63,24,0.0,0.89,5.71,32.5,Saturday,Spring/Autumn,1,5.83
Apartment,6,2,9,2.18,5.6,24,3.0,0.35,4.03,27.9,Tuesday,Spring/Autumn,0,9.42
Independent House,4,4,6,4.59,9.47,24,1.09,0.95,5.65,34.1,Wednesday,Summer,0,13.91
Independent House,3,6,8,6.39,9.52,24,0.0,1.68,7.02,37.3,Monday,Summer,0,16.24
Apartment,1,2,10,5.74,11.92,24,0.0,1.13,4.62,35.6,Saturday,Summer,1,13.82
Apartment,5,2,14,6.19,8.93,24,1.38,1.35,7.26,37.1,Monday,Summer,0,16.87
Independent House,3,6,10,9.12,11.27,24,0.0,1.81,5.2,33.2,Sunday,Summer,1,20.42
Apartment,5,3,5,7.29,12.41,24,1.01,0.89,7.13,37.3,Wednesday,Summer,0,18.36
Villa,6,6,14,3.33,1.41,24,0.67,1.69,7.05,5.8,Monday,Winter,0,12.45
Independent House,6,6,14,1.43,1.5,24,0.92,1.34,8.54,8.6,Wednesday,Winter,0,9.67
Independent House,1,6,13,8.31,7.46,24,0.74,1.02,5.88,38.0,Sunday,Summer,1,19.61
Villa,1,7,9,0.84,1.83,24,1.74,2.27,6.57,16.8,Wednesday,Winter,0,7.3
Independent House,1,6,4,3.35,6.5,24,0.61,1.64,3.75,29.8,Thursday,Spring/Autumn,1,10.79
Apartment,5,4,5,1.44,8.37,24,0.0,0.76,4.54,17.6,Friday,Spring/Autumn,0,8.48
Independent House,1,4,7,0.08,4.39,24,0.0,1.56,5.56,8.3,Wednesday,Winter,0,5.07
Apartment,7,2,6,0.63,2.54,24,0.0,1.37,7.17,17.0,Tuesday,Winter,0,8.39
Independent House,3,6,7,9.43,7.53,24,0.0,2.36,4.78,,Monday,Summer,0,24.07
Independent House,7,3,9,2.26,6.0,24,0.0,1.14,5.79,27.5,Friday,Spring/Autumn,1,9.95
Apartment,2,2,9,7.52,9.86,24,0.0,0.69,5.85,,Thursday,Summer,0,15.15
Apartment,3,4,4,5.82,11.54,24,0.0,1.48,5.91,38.0,Tuesday,Summer,0,14.23
Apartment,3,4,5,0.67,1.61,24,0.0,1.21,8.08,13.1,Thursday,Winter,0,6.42
Apartment,4,3,14,1.54,4.93,24,0.0,1.38,3.13,13.7,Friday,Spring/Autumn,0,8.32
Apartment,4,2,8,0.07,3.01,24,0.55,1.13,4.54,7.1,Saturday,Winter,1,6.26
Apartment,7,2,4,3.34,4.82,24,0.6,1.55,4.89,16.6,Thursday,Spring/Autumn,0,12.19
Villa,4,7,9,1.01,0.32,24,0.0,0.62,6.86,15.1,Wednesday,Winter,1,8.13
Independent House,5,4,5,3.23,11.31,24,0.0,1.64,6.41,41.1,Friday,Summer,0,12.35
Villa,7,6,6,9.77,12.53,24,0.0,1.95,7.02,39.9,Wednesday,Summer,0,24.9
Villa,3,6,8,2.17,2.64,24,0.0,1.99,6.39,12.9,Thursday,Winter,0,9.83
Independent House,2,5,13,2.6,4.49,24,0.55,1.61,4.63,8.9,Sunday,Winter,1,9.9
Apartment,3,4,14,0.95,5.93,24,0.55,2.29,5.74,28.6,Wednesday,Spring/Autumn,0,8.0
Independent House,3,3,10,0.68,2.49,24,0.0,1.46,6.15,13.8,Monday,Winter,0,6.0
Villa,1,9,9,8.52,11.57,24,1.2,2.11,7.94,31.7,Tuesday,Summer,0,17.87
Independent House,1,5,6,5.98,10.95,24,0.0,1.45,4.49,40.7,Tuesday,Summer,0,13.82
Apartment,2,3,5,5.9,10.21,24,0.0,1.23,6.49,37.2,Thursday,Summer,0,14.07
Apartment,5,2,10,5.46,7.13,24,0.74,0.24,6.18,39.7,Monday,Summer,0,14.91
Apartment,6,2,8,5.31,8.84,24,0.0,0.91,7.43,43.5,Monday,Summer,0,16.21
Villa,1,8,6,6.81,10.29,24,0.0,2.44,7.45,32.2,Thursday,Summer,0,17.41
Independent House,4,4,6,7.91,11.55,24,0.88,0.9,3.53,37.8,Wednesday,Summer,0,17.87
Independent House,7,3,8,5.17,11.42,24,0.0,0.63,3.14,41.6,Friday,Summer,0,14.02
Apartment,2,2,8,0.0,3.21,24,0.0,1.67,8.4,24.5,Wednesday,Spring/Autumn,0,5.78
Apartment,6,2,11,0.69,6.14,24,0.0,1.57,3.25,23.3,Saturday,Spring/Autumn,1,7.48
Independent House,6,5,9,10.41,7.03,24,0.0,2.33,7.32,38.9,Sunday,Summer,1,29.3
Apartment,4,2,8,1.65,3.63,24,0.0,1.0,4.93,28.7,Saturday,Spring/Autumn,1,8.28
Apartment,6,4,13,0.84,3.34,24,1.11,1.4,3.92,11.8,Sunday,Winter,1,7.54
Independent House,4,6,4,0.57,8.33,24,0.7,1.14,5.88,27.6,Monday,Spring/Autumn,0,7.63
Villa,4,5,6,5.7,11.54,24,2.03,1.19,6.59,38.8,Wednesday,Summer,0,17.84
Independent House,5,3,5,4.14,3.32,24,0.0,1.58,5.23,25.0,Tuesday,Spring/Autumn,0,13.81
Independent House,2,5,6,2.04,11.92,24,0.0,1.9,7.16,23.6,Sunday,Spring/Autumn,1,10.0
Independent House,5,6,6,3.6,3.54,24,0.0,1.71,6.84,13.0,Sunday,Spring/Autumn,1,12.94
Villa,6,6,7,8.69,8.15,24,0.94,2.1,8.41,30.0,Saturday,Summer,1,25.01
Villa,7,6,12,0.75,3.16,24,0.0,0.72,6.92,17.7,Saturday,Winter,1,7.48
Villa,3,9,12,0.11,2.29,24,1.35,2.12,9.48,4.5,Friday,Winter,0,9.45
Apartment,7,3,7,2.48,2.81,24,0.0,1.52,5.21,21.6,Sunday,Spring/Autumn,1,12.11
Apartment,3,2,11,3.01,10.53,24,1.07,1.56,4.18,35.4,Thursday,Summer,0,11.78
Apartment,3,2,7,0.56,3.27,24,,0.08,6.78,11.8,Monday,Winter,0,4.96
Apartment,3,4,10,8.7,12.56,24,1.08,1.27,6.15,39.5,Monday,Summer,0,19.17
Apartment,2,3,9,8.71,10.53,24,,1.12,6.51,40.8,Thursday,Summer,0,18.21
