AC_Usage_Hours,Family_Members,Water_Motor_Usage_Hours,Rooms_per_Person,Total_Appliance_Hours,Daily_Appliance_Usage_Count,Washing_Machine_Usage_Hours,Lighting_Hours,Outdoor_Temperature_C,Number_of_Rooms,Fan_Usage_Hours,Day_of_Week_Encoded,Daily_Electricity_Consumption_kWh
0.0,4,0.6,1.0,36.43,9,0.0,7.39,14.8,4,4.44,1,5.3
9.94,2,1.26,2.0,52.41,8,0.0,7.35,35.2,4,9.86,2,20.6
3.98,7,0.2,0.2857142857142857,37.11,9,0.0,3.59,23.2,2,5.34,6,11.51
4.21,4,1.49,1.5,42.97,14,1.19,7.29,27.5,6,4.79,4,14.42
7.84,4,0.47,0.5,44.940000000000005,9,0.7,5.46,38.1,2,6.47,0,18.72
4.13,4,1.09,1.25,47.02,11,0.0,7.26,42.1,5,10.54,4,13.63
1.11,1,2.04,5.0,39.67,9,2.96,6.72,13.5,5,2.84,4,8.43
0.0,2,0.98,1.5,34.92,7,0.0,3.11,19.7,3,6.83,3,6.05
4.56,2,1.48,1.5,46.419999999999995,8,0.99,3.71,34.3,3,11.68,4,12.47
5.07,4,1.85,1.0,47.84,10,0.0,6.15,41.9,4,10.77,1,14.94
0.68,2,1.28,1.5,31.73,4,0.0,2.34,16.3,3,3.43,2,6.47
3.45,4,1.58,1.0,39.47,12,0.0,7.13,19.8,4,3.31,3,13.05
9.23,7,0.96,0.42857142857142855,44.32000000000001,5,0.0,4.23,35.7,3,5.9,4,21.65
0.09,1,0.95,3.0,34.67,6,0.0,8.18,9.7,3,1.45,5,5.18
1.68,4,1.25,1.0,33.07,5,0.0,6.14,14.8,4,0.0,2,7.65
5.96,6,1.06,0.5,52.11,8,1.02,7.54,42.5,3,12.53,6,16.27
1.69,3,0.99,2.0,39.13,5,0.0,6.54,30.4,6,5.91,0,8.87
3.2,6,1.99,1.0,43.81,10,0.0,6.37,27.3,6,8.25,2,13.63
5.85,7,1.41,0.2857142857142857,46.91,8,0.0,8.36,40.7,2,7.29,0,18.5
11.61,7,2.01,0.8571428571428571,55.089999999999996,12,0.5,5.86,35.2,6,11.11,3,29.99
5.99,6,0.8,0.6666666666666666,49.18,13,0.0,9.42,39.2,4,8.97,6,17.68
0.0,5,1.07,0.4,30.509999999999998,10,0.0,2.76,16.4,2,2.68,4,5.22
1.83,5,1.97,0.6,35.11,14,0.0,7.22,10.3,3,0.09,3,9.94
0.17,3,1.35,1.6666666666666667,37.900000000000006,10,1.11,6.27,9.4,5,5.0,5,6.47
1.23,1,1.0,4.0,40.98,10,0.91,5.29,21.3,4,8.55,6,8.31
1.34,7,1.01,0.2857142857142857,33.93,11,0.0,6.26,19.8,2,1.32,2,8.51
2.12,6,2.87,1.0,40.34,6,0.0,6.31,19.7,6,5.04,1,11.4
7.22,6,1.63,0.8333333333333334,52.47,11,1.11,6.51,36.7,5,12.0,0,22.11
0.0,2,1.67,1.0,33.84,10,0.0,5.89,16.0,2,2.28,4,4.97
0.0,3,1.88,1.6666666666666667,35.269999999999996,9,0.0,8.75,7.8,5,0.64,2,6.61
5.59,6,1.24,0.3333333333333333,50.17,8,0.72,7.9,41.0,2,10.72,1,16.94
4.74,3,1.11,1.0,45.42,12,0.0,6.7,44.1,3,8.87,1,11.73
0.0,1,1.46,4.0,38.29,6,0.63,6.42,14.3,4,5.78,2,5.99
0.0,5,1.95,1.2,37.620000000000005,13,0.8,5.98,5.3,6,4.89,0,7.12
0.34,2,1.67,2.5,35.27,14,1.5,7.28,8.4,5,0.48,5,7.16
2.04,4,1.26,1.5,43.349999999999994,14,0.8,9.01,30.3,6,6.24,5,10.16
1.54,1,1.15,3.0,35.19,8,0.0,3.54,25.8,3,4.96,0,7.43
1.97,6,1.21,0.8333333333333334,37.04,10,0.0,6.96,10.4,5,2.9,1,10.31
3.34,3,1.56,1.3333333333333333,37.34,4,0.0,4.81,12.7,4,3.63,1,10.55
8.41,1,1.19,4.0,54.41,14,0.0,7.11,41.9,4,13.7,4,16.56
0.18,7,1.81,0.8571428571428571,32.269999999999996,13,0.0,5.24,19.2,6,1.04,4,7.32
2.05,2,1.32,1.5,36.949999999999996,10,0.0,4.68,23.6,3,4.9,3,9.19
10.01,4,1.86,0.5,55.39,6,0.95,5.91,35.9,2,12.66,5,24.78
2.11,3,1.42,1.0,36.32,6,1.06,7.29,13.5,3,0.44,4,8.41
0.0,6,1.09,0.3333333333333333,28.68,5,0.0,3.16,14.5,2,0.43,0,5.34
0.0,1,1.56,5.0,39.339999999999996,5,0.0,6.15,15.9,5,7.63,0,6.52
8.08,6,1.96,0.6666666666666666,49.83,6,0.0,7.52,29.7,4,8.27,6,19.99
8.01,2,0.99,2.0,49.68,9,1.1,5.83,35.9,4,9.75,4,17.89
1.89,2,2.74,4.0,43.11,4,0.0,8.67,20.4,8,5.81,4,11.16
0.0,5,3.43,1.6,36.83,12,0.0,7.89,9.5,8,1.51,0,8.77
7.29,7,1.5,0.42857142857142855,50.78000000000001,13,1.02,7.75,35.2,3,9.22,0,18.48
3.19,5,0.81,0.4,38.36,11,0.0,5.43,25.7,2,4.93,0,11.42
1.71,4,1.95,0.75,37.26,7,0.82,6.77,19.9,3,2.01,3,10.15
0.0,2,1.41,1.5,40.08,6,0.99,7.54,22.3,3,6.14,2,6.37
0.72,5,1.08,1.2,36.489999999999995,11,1.33,5.51,11.5,6,3.85,5,7.31
7.25,4,2.09,1.25,55.85000000000001,8,0.0,7.2,32.2,5,15.31,1,20.87
0.48,1,1.31,4.0,36.43,4,0.0,6.96,3.7,4,3.68,2,6.42
7.22,5,1.65,0.6,49.69,14,0.0,5.72,30.7,3,11.1,1,18.13
1.76,2,2.48,1.0,37.8,6,0.0,8.39,5.9,2,1.17,2,9.93
1.12,7,1.25,0.42857142857142855,34.63,9,0.0,5.83,12.3,3,2.43,1,7.5
6.03,7,1.71,0.7142857142857143,47.32,10,0.0,6.22,35.4,5,9.36,4,17.93
1.31,5,1.93,0.8,37.54,11,0.0,5.53,17.2,4,4.77,1,9.06
1.22,3,2.02,2.0,38.230000000000004,8,1.33,5.76,25.8,6,3.9,1,8.48
12.48,6,1.41,0.3333333333333333,53.89999999999999,8,0.83,4.12,33.0,2,11.06,3,30.03
11.19,5,2.69,1.8,54.769999999999996,13,0.0,7.68,40.8,9,9.21,3,29.78
1.41,5,1.17,0.6,35.739999999999995,5,0.72,6.41,16.1,3,2.03,6,7.75
0.0,4,1.8,1.0,33.47,5,1.12,4.6,15.5,4,1.95,5,6.7
3.64,1,2.06,3.0,37.9,12,1.05,4.53,24.2,3,2.62,1,10.86
9.15,1,1.05,2.0,47.839999999999996,7,0.0,4.9,41.8,2,8.74,4,18.5
1.66,2,2.13,2.0,31.799999999999997,7,0.0,4.01,32.5,4,0.0,2,8.14
10.33,2,1.37,4.0,52.56,5,0.82,5.24,35.1,8,10.8,4,22.14
0.7,2,1.02,1.0,35.66,4,0.0,5.06,3.0,2,4.88,4,5.91
7.75,6,1.66,0.3333333333333333,47.629999999999995,7,1.12,4.28,43.6,2,8.82,2,23.05
5.5,2,1.0,2.0,46.93,10,0.97,6.1,38.9,4,9.36,1,14.14
7.8,1,0.99,2.0,48.519999999999996,6,0.0,5.15,38.0,2,10.58,0,16.29
0.0,2,1.56,3.0,34.66,7,1.05,5.75,15.6,6,2.3,4,6.44
6.98,6,2.07,0.6666666666666666,49.97,9,0.0,7.27,38.9,4,9.65,1,22.72
7.77,5,2.02,0.4,53.910000000000004,9,0.0,4.44,40.3,2,15.68,5,22.04
8.77,1,1.06,2.0,51.10000000000001,5,0.59,5.21,28.3,2,11.47,1,19.18
0.0,7,1.7,0.42857142857142855,37.25,8,1.16,8.01,13.2,3,2.38,6,7.21
3.01,3,1.56,0.6666666666666666,44.35,11,1.07,4.18,35.4,2,10.53,4,11.78
6.34,4,1.61,0.5,48.75,8,1.12,7.7,36.3,2,7.98,1,15.92
0.0,5,1.32,0.4,32.17,13,0.6,4.86,10.0,2,1.39,3,6.68
6.75,3,1.95,0.6666666666666666,49.940000000000005,9,0.0,5.74,41.3,2,11.5,4,15.88
0.0,2,1.75,1.0,33.9,10,0.78,5.08,9.3,2,2.29,1,5.02
8.48,3,1.59,0.6666666666666666,45.29,8,0.0,2.12,37.5,2,9.1,4,17.86
8.58,5,1.67,1.0,51.24,7,2.54,4.92,44.2,5,9.53,4,22.11
0.95,7,1.63,0.5714285714285714,38.650000000000006,8,1.1,5.45,25.9,4,5.52,2,8.49
5.7,5,0.44,0.4,41.59,12,0.0,2.81,48.4,2,8.64,6,14.82
5.04,2,1.25,2.0,54.11,14,1.78,6.53,31.2,4,15.51,1,13.63
1.7,1,2.14,6.0,40.47,8,0.63,8.59,25.0,6,3.41,1,8.81
0.14,4,1.07,1.0,33.42,6,0.9,4.36,13.3,4,2.95,6,6.17
0.0,4,1.38,0.5,32.93,14,0.0,7.06,9.8,2,0.49,5,5.44
1.22,3,1.74,0.6666666666666666,40.44,14,0.81,7.0,21.5,2,5.67,1,8.58
0.51,5,1.57,0.6,32.75,13,0.0,3.97,9.1,3,2.7,3,7.08
9.49,7,1.46,0.42857142857142855,50.58,4,1.19,5.58,37.3,3,8.86,5,22.46
0.0,4,0.32,0.5,32.85,7,0.0,5.83,8.4,2,2.7,2,5.19
10.54,4,1.44,0.75,50.32,4,0.52,4.54,39.1,3,9.28,6,23.6
2.49,2,0.88,4.0,45.13,12,2.73,7.54,24.7,8,7.49,2,12.21
0.18,1,0.37,3.0,40.059999999999995,6,0.0,5.19,30.3,3,10.32,0,4.61
7.13,5,1.38,0.6,50.53000000000001,4,0.0,7.81,42.6,3,10.21,4,17.34
0.0,7,1.8,0.2857142857142857,34.76,9,0.0,6.3,14.9,2,2.66,4,6.45
8.16,3,1.17,1.3333333333333333,50.39,12,0.0,7.19,33.2,4,9.87,5,19.22
2.98,1,1.44,4.0,45.45,14,1.17,6.77,30.4,4,9.09,1,10.83
0.0,7,1.95,0.5714285714285714,36.81,10,1.78,4.77,5.3,4,4.31,0,7.66
0.23,2,0.34,2.0,33.34,11,0.0,5.5,13.9,4,3.27,3,5.12
5.66,4,1.32,1.25,53.06,6,2.22,7.96,42.7,5,11.9,5,17.41
6.13,2,1.01,1.5,43.24999999999999,10,0.0,3.58,44.4,3,8.53,1,12.96
7.52,4,2.0,1.5,49.46,10,0.0,5.28,41.7,6,10.66,5,21.09
0.0,3,1.31,1.0,36.94,10,0.0,9.76,13.9,3,1.87,1,6.1
1.37,7,1.06,0.5714285714285714,33.54,4,1.0,3.48,24.8,4,2.63,6,9.79
0.26,4,2.07,1.5,34.64,11,0.0,8.31,5.7,6,0.0,4,6.82
7.94,2,1.47,3.0,50.3,7,0.0,6.01,40.7,6,10.88,5,17.4
0.0,1,1.24,4.0,37.459999999999994,12,0.88,6.16,29.1,4,5.18,5,6.0
4.43,1,1.66,4.0,49.059999999999995,10,1.82,5.92,41.6,4,11.23,4,11.6
7.12,2,1.29,1.5,44.730000000000004,8,0.0,6.07,22.2,3,6.25,0,18.23
2.34,2,0.83,2.5,36.81,6,0.0,4.14,24.5,5,5.5,2,8.71
12.59,2,2.58,4.0,56.379999999999995,4,1.11,5.87,39.0,8,10.23,3,26.0
0.0,6,2.2,0.8333333333333334,34.519999999999996,5,0.0,4.81,11.1,5,3.51,3,6.99
0.0,2,1.17,1.5,32.77,10,0.62,5.79,13.9,3,1.19,3,5.84
1.24,1,0.58,6.0,40.67,11,0.53,7.06,19.4,6,7.26,5,7.09
0.0,5,1.38,0.8,37.6,12,0.0,5.29,25.2,4,6.93,0,6.79
1.01,1,0.84,6.0,33.81,13,0.69,5.3,11.2,6,1.97,1,6.39
1.11,7,1.29,0.42857142857142855,41.559999999999995,13,0.0,5.86,23.3,3,9.3,6,8.66
6.52,5,1.41,0.4,47.25999999999999,8,0.0,7.22,32.7,2,8.11,5,15.97
2.63,4,1.07,1.5,41.0,10,0.56,7.29,29.0,6,5.45,2,10.87
0.0,6,2.29,1.0,37.25,14,0.96,6.27,15.9,6,3.73,4,8.07
0.03,2,1.55,2.0,32.550000000000004,9,0.0,6.38,10.4,4,0.59,5,5.33
2.63,5,1.49,0.6,37.77,7,0.0,3.44,27.4,3,6.21,5,10.87
0.04,4,1.76,1.0,42.30999999999999,10,0.66,7.15,20.4,4,8.7,4,6.81
6.97,3,1.18,1.6666666666666667,48.51,10,0.0,6.9,36.6,5,9.46,4,16.82
0.57,6,1.43,0.6666666666666666,33.39,11,1.1,5.13,17.3,4,1.16,4,7.28
8.81,7,1.71,0.8571428571428571,49.19,6,0.0,5.84,40.4,6,8.83,3,23.79
0.29,2,1.86,4.5,39.56,10,0.0,9.72,25.7,9,3.69,3,9.18
0.0,3,0.78,1.0,33.72,6,0.85,6.73,7.8,3,1.36,6,5.44
6.71,1,1.49,3.0,51.97,5,0.0,7.52,43.3,3,12.25,0,14.74
0.58,1,2.11,4.0,34.99,14,1.21,4.2,12.2,4,2.89,4,6.61
5.71,7,1.75,0.8571428571428571,40.0,9,0.0,4.32,30.8,6,4.22,4,17.72
3.2,7,2.11,1.1428571428571428,42.79,5,0.0,7.86,21.8,8,5.62,3,15.23
1.35,4,0.57,1.0,35.79,8,0.0,1.34,28.6,4,8.53,6,7.43
0.66,1,1.22,4.0,32.35,9,0.0,5.12,14.6,4,1.35,4,5.55
0.47,6,2.91,1.3333333333333333,35.82,13,0.0,7.66,13.2,8,0.78,3,10.47
7.5,5,2.14,0.6,51.11,14,0.0,6.82,36.6,3,10.65,1,19.49
0.0,1,0.66,4.0,41.9,9,0.0,8.74,19.5,4,8.5,4,5.28
7.44,1,1.15,3.0,49.71,11,0.0,6.2,34.8,3,10.92,1,14.52
3.19,6,1.88,0.3333333333333333,41.27,8,1.1,4.11,11.4,2,6.99,4,12.93
1.94,6,1.41,0.5,42.629999999999995,7,0.0,5.24,26.2,3,10.04,4,10.71
2.29,6,1.03,0.5,40.290000000000006,9,0.0,4.2,33.5,3,8.77,5,10.54
1.08,3,1.11,1.6666666666666667,39.49,5,0.87,3.2,26.0,5,9.23,6,7.65
10.25,6,1.75,0.3333333333333333,51.03,9,0.0,4.28,31.6,2,10.75,2,25.51
4.0,7,1.3,0.5714285714285714,37.78,10,0.0,7.28,7.3,4,1.2,0,13.0
1.95,7,0.95,0.5714285714285714,41.59,4,0.0,7.03,26.5,4,7.66,2,10.54
1.18,1,1.52,9.0,32.49,12,0.0,5.79,14.2,9,0.0,2,8.04
6.68,2,1.3,1.5,47.12,4,0.0,6.21,33.9,3,8.93,5,13.74
2.52,4,0.65,1.25,42.37,10,0.0,5.75,40.5,5,9.45,1,10.02
1.32,2,1.4,3.0,35.03,14,0.0,7.28,2.3,6,1.03,3,7.06
8.38,7,1.93,0.5714285714285714,50.58,14,1.3,4.57,47.6,4,10.4,2,26.99
7.7,7,1.22,0.2857142857142857,42.69,5,0.0,3.73,32.5,2,6.04,1,19.62
10.08,4,1.85,1.25,57.44,12,2.3,9.14,30.5,5,10.07,5,29.08
8.41,1,1.09,2.0,51.71,8,1.0,6.26,33.8,2,10.95,1,16.53
3.65,5,2.12,1.2,43.58,8,0.66,8.66,26.7,6,4.49,4,15.48
8.4,1,0.95,4.0,51.10000000000001,14,1.24,6.99,39.1,4,9.52,3,19.31
0.58,2,1.93,3.0,33.11,10,0.0,6.06,17.0,6,0.54,4,6.66
5.26,3,0.94,1.3333333333333333,42.269999999999996,13,1.06,5.34,31.5,4,5.67,4,14.06
8.77,6,1.4,1.1666666666666667,50.82,9,0.64,8.39,41.8,7,7.62,2,21.37
0.18,7,0.58,0.2857142857142857,35.76,13,0.68,7.1,8.9,2,3.22,3,32.35
6.22,5,1.57,0.8,49.980000000000004,11,1.35,6.27,35.5,4,10.57,4,17.92
1.92,1,1.28,3.0,37.14,8,0.0,3.17,17.2,3,6.77,5,7.94
5.07,7,0.84,0.2857142857142857,45.900000000000006,14,0.53,4.45,36.9,2,11.01,6,14.39
1.54,5,1.33,1.0,40.18,7,0.8,8.0,25.7,5,4.51,2,9.87
6.1,7,1.85,1.1428571428571428,52.35,5,0.6,8.49,34.1,8,11.31,6,21.13
0.56,7,0.6,0.2857142857142857,36.17,9,0.0,7.07,22.5,2,3.94,6,6.41
8.54,3,1.57,0.6666666666666666,51.709999999999994,6,1.4,5.09,41.4,2,11.11,4,20.99
1.63,2,1.89,2.0,36.83,7,0.0,9.31,15.8,4,0.0,6,7.78
5.3,4,1.77,2.25,47.42,5,0.0,6.79,42.8,9,9.56,2,17.88
0.01,2,0.89,2.0,38.24,10,0.0,5.71,32.5,4,7.63,2,5.83
2.18,6,0.35,0.3333333333333333,39.160000000000004,9,3.0,4.03,27.9,2,5.6,5,9.42
4.59,4,0.95,1.0,45.75000000000001,6,1.09,5.65,34.1,4,9.47,6,13.91
6.39,3,1.68,2.0,48.61,8,0.0,7.02,37.3,6,9.52,1,16.24
5.74,1,1.13,2.0,47.41,10,0.0,4.62,35.6,2,11.92,2,13.82
6.19,5,1.35,0.4,49.11000000000001,14,1.38,7.26,37.1,2,8.93,1,16.87
9.12,3,1.81,2.0,51.400000000000006,10,0.0,5.2,33.2,6,11.27,3,20.42
7.29,5,0.89,0.6,52.730000000000004,5,1.01,7.13,37.3,3,12.41,6,18.36
3.33,6,1.69,1.0,38.150000000000006,14,0.67,7.05,5.8,6,1.41,1,12.45
1.43,6,1.34,1.0,37.730000000000004,14,0.92,8.54,8.6,6,1.5,6,9.67
8.31,1,1.02,6.0,47.410000000000004,13,0.74,5.88,38.0,6,7.46,3,19.61
0.84,1,2.27,7.0,37.25,9,1.74,6.57,16.8,7,1.83,6,7.3
3.35,1,1.64,6.0,39.85,4,0.61,3.75,29.8,6,6.5,4,10.79
1.44,5,0.76,0.8,39.11,5,0.0,4.54,17.6,4,8.37,0,8.48
0.08,1,1.56,4.0,35.589999999999996,7,0.0,5.56,8.3,4,4.39,6,5.07
0.63,7,1.37,0.2857142857142857,35.71,6,0.0,7.17,17.0,2,2.54,5,8.39
9.43,3,2.36,2.0,48.1,7,0.0,4.78,25.7,6,7.53,1,24.07
2.26,7,1.14,0.42857142857142855,39.19,9,0.0,5.79,27.5,3,6.0,0,9.95
7.52,2,0.69,1.0,47.919999999999995,9,0.0,5.85,25.7,2,9.86,4,15.15
5.82,3,1.48,1.3333333333333333,48.75,4,0.0,5.91,38.0,4,11.54,5,14.23
0.67,3,1.21,1.3333333333333333,35.57,5,0.0,8.08,13.1,4,1.61,4,6.42
1.54,4,1.38,0.75,34.98,14,0.0,3.13,13.7,3,4.93,0,8.32
0.07,4,1.13,0.5,33.3,8,0.55,4.54,7.1,2,3.01,2,6.26
3.34,7,1.55,0.2857142857142857,39.199999999999996,4,0.6,4.89,16.6,2,4.82,4,12.19
1.01,4,0.62,1.75,32.81,9,0.0,6.86,15.1,7,0.32,6,8.13
3.23,5,1.64,0.8,46.59,5,0.0,6.41,41.1,4,11.31,0,12.35
9.77,7,1.95,0.8571428571428571,55.269999999999996,6,0.0,7.02,39.9,6,12.53,6,24.9
2.17,3,1.99,2.0,37.19,8,0.0,6.39,12.9,6,2.64,4,9.83
2.6,2,1.61,2.5,37.88,13,0.55,4.63,8.9,5,4.49,3,9.9
0.95,3,2.29,1.3333333333333333,39.46,14,0.55,5.74,28.6,4,5.93,6,8.0
0.68,3,1.46,1.0,34.78,10,0.0,6.15,13.8,3,2.49,1,6.0
8.52,1,2.11,9.0,55.34,9,1.2,7.94,31.7,9,11.57,5,17.87
5.98,1,1.45,5.0,46.870000000000005,6,0.0,4.49,40.7,5,10.95,5,13.82
5.9,2,1.23,1.5,47.83,5,0.0,6.49,37.2,3,10.21,4,14.07
5.46,5,0.24,0.4,43.75000000000001,10,0.74,6.18,39.7,2,7.13,1,14.91
5.31,6,0.91,0.3333333333333333,46.489999999999995,8,0.0,7.43,43.5,2,8.84,1,16.21
6.81,1,2.44,8.0,50.989999999999995,6,0.0,7.45,32.2,8,10.29,4,17.41
7.91,4,0.9,1.0,48.77,6,0.88,3.53,37.8,4,11.55,6,17.87
5.17,7,0.63,0.42857142857142855,44.36000000000001,8,0.0,3.14,41.6,3,11.42,0,14.02
0.0,2,1.67,1.0,37.28,8,0.0,8.4,24.5,2,3.21,6,5.78
0.69,6,1.57,0.3333333333333333,35.65,11,0.0,3.25,23.3,2,6.14,2,7.48
10.41,6,2.33,0.8333333333333334,51.089999999999996,9,0.0,7.32,38.9,5,7.03,3,29.3
1.65,4,1.0,0.5,35.21,8,0.0,4.93,28.7,2,3.63,2,8.28
0.84,6,1.4,0.6666666666666666,34.61,13,1.11,3.92,11.8,4,3.34,3,7.54
0.57,4,1.14,1.5,40.620000000000005,4,0.7,5.88,27.6,6,8.33,1,7.63
5.7,4,1.19,1.25,51.05,6,2.03,6.59,38.8,5,11.54,6,17.84
4.14,5,1.58,0.6,38.269999999999996,5,0.0,5.23,25.0,3,3.32,5,13.81
2.04,2,1.9,2.5,47.019999999999996,6,0.0,7.16,23.6,5,11.92,3,10.0
3.6,5,1.71,1.2,39.69,6,0.0,6.84,13.0,6,3.54,3,12.94
8.69,6,2.1,1.0,52.290000000000006,7,0.94,8.41,30.0,6,8.15,2,25.01
0.75,7,0.72,0.8571428571428571,35.55,12,0.0,6.92,17.7,6,3.16,2,7.48
0.11,3,2.12,3.0,39.35,12,1.35,9.48,4.5,9,2.29,0,9.45
2.48,7,1.52,0.42857142857142855,36.019999999999996,7,0.0,5.21,21.6,3,2.81,3,12.11
0.56,3,0.08,0.6666666666666666,34.69,7,0.0,6.78,11.8,2,3.27,1,4.96
8.7,3,1.27,1.3333333333333333,53.76,10,1.08,6.15,39.5,4,12.56,1,19.17
8.71,2,1.12,1.5,50.87,9,0.0,6.51,40.8,3,10.53,4,18.21
6.65,5,1.84,1.4,51.730000000000004,4,1.04,7.37,37.6,7,10.83,4,20.13
5.4,7,1.12,0.8571428571428571,45.809999999999995,7,0.0,6.26,35.4,6,9.03,6,17.05
6.66,7,1.17,0.5714285714285714,51.5,10,0.77,6.37,32.9,4,12.53,2,18.81
2.05,5,0.37,0.6,39.230000000000004,14,0.0,8.68,29.2,3,4.13,3,9.56
0.0,4,2.09,2.0,35.379999999999995,4,0.0,6.73,4.7,8,2.56,2,7.45
9.74,6,1.43,0.6666666666666666,51.809999999999995,12,0.8,4.37,40.0,4,11.47,2,23.79
4.31,4,0.57,0.5,38.4,12,0.0,5.12,20.9,2,4.4,3,12.15
8.17,5,0.81,0.6,46.18,5,1.18,2.04,38.9,3,9.98,3,19.35
0.0,2,0.57,1.5,38.08,10,0.0,6.27,9.8,3,7.24,6,4.97
0.35,3,1.21,1.6666666666666667,40.18,11,0.0,7.83,25.4,5,6.79,4,6.53
3.16,7,1.04,0.5714285714285714,36.230000000000004,5,0.0,5.41,24.0,4,2.62,5,11.45
8.85,1,2.02,4.0,53.06,4,0.0,6.26,43.7,4,11.93,0,18.07
1.74,2,2.68,4.0,45.769999999999996,12,0.0,8.01,24.0,8,9.34,5,10.04
2.31,6,1.31,0.8333333333333334,34.559999999999995,7,0.71,4.39,12.0,5,1.84,3,11.23
8.6,2,2.14,2.5,51.42,14,0.0,3.46,38.8,5,13.22,2,23.49
6.67,4,1.77,1.5,48.650000000000006,9,0.0,7.04,37.3,6,9.17,2,19.1
0.23,3,2.37,2.6666666666666665,38.19,4,1.1,7.82,12.9,8,2.67,5,8.05
0.67,6,1.3,0.6666666666666666,35.95,8,0.0,6.43,4.4,4,3.55,2,8.14
12.64,2,0.0,1.0,52.91,10,0.66,3.04,42.7,2,12.57,2,25.52
1.81,5,1.15,0.8,35.62,11,1.18,5.5,20.3,4,1.98,0,9.32
0.0,2,0.46,1.0,34.94,4,1.0,5.08,12.3,2,4.4,3,4.82
0.86,6,0.5,0.5,30.730000000000004,4,0.92,4.15,15.9,3,0.3,0,7.96
5.04,6,0.56,0.5,47.76,10,0.0,6.12,38.9,3,12.04,0,14.59
0.0,6,1.66,0.5,30.36,13,0.0,3.22,6.4,3,1.48,5,6.04
0.0,6,1.53,0.6666666666666666,30.86,7,0.0,2.81,12.2,4,2.52,0,6.1
11.76,4,1.38,1.75,50.17,14,0.0,7.32,36.4,7,5.71,1,25.75
5.85,4,1.7,0.75,48.2,6,1.94,4.7,37.4,3,10.01,4,13.64
1.43,1,1.25,4.0,36.39,10,0.57,8.4,16.1,4,0.74,1,7.03
1.54,4,2.01,0.75,36.66,5,0.0,8.36,12.9,3,0.75,1,8.63
6.71,5,2.31,1.0,50.300000000000004,5,1.17,7.87,38.8,5,8.24,2,20.99
5.45,5,2.15,1.8,51.51,12,0.0,9.86,38.4,9,10.05,0,18.3
8.37,5,1.58,0.6,50.089999999999996,13,0.0,6.37,29.6,3,9.77,6,21.91
2.32,2,0.69,1.5,33.730000000000004,14,0.0,6.72,16.6,3,0.0,2,8.83
0.0,4,1.97,0.75,40.28,11,0.0,7.09,25.3,3,7.22,2,7.16
8.17,6,2.16,1.5,56.64,9,1.08,9.7,39.3,9,11.53,3,26.57
5.3,5,2.24,1.4,50.56,7,0.98,8.31,40.4,7,9.73,1,17.22
0.0,6,1.01,1.0,34.38,11,0.75,8.16,6.8,6,0.46,2,7.32
3.68,1,1.57,9.0,44.94,12,0.88,6.47,25.7,9,8.34,4,32.35
